Vendor Category,Diabetic Need Served,How To Vet,Risks,Insurance/Licensing,Referral Workflow,Review Model,Fraud Abuse Risk,Partnership Model
"medical supply stores","supplies and DME navigation","business license, references, pricing transparency","wrong products, upsell","licensing/product rules","referral only; no clinical recommendations","complaints + annual review","high","listed partner or sponsor"
"pharmacies","med pickup/delivery/refill logistics","state license, delivery policy","med errors, privacy","pharmacy licensing/HIPAA","refer user directly to pharmacy","complaint log","high","partner directory"
"diabetic footwear stores","footwear access","business verification, return policy, certified fitters if claimed","bad fit, medical claims","DME/insurance if billed","refer for clinician-directed footwear","reviews","medium","vetted listing"
"podiatrists","foot care","license verification","clinical liability","licensed medical professional","clinical referral only","credential review","high","partner clinic"
"wound-care centers","wound care","license/clinic verification","treatment claims","licensed medical care","escalate/referral only","credential review","high","partner center"
"home health agencies","home services","license, insurance","vulnerable adult risk","home health licensing","refer with consent","annual review","high","partner agency"
"transportation providers","appointments and pickup","insurance, driver checks","injury, missed appointment","transport liability","scheduled referral","complaints","high","sponsored rides"
"cleaners","home support","insurance, background checks","home entry risk","insurance/background","non-medical cleaning only","complaints","medium-high","voucher partner"
"shoppers","groceries/supplies","background, references","fraud, home entry","background if direct service","shopping list only","receipts/review","medium","volunteer/vendor"
"meal providers","food stability","food safety, menu transparency","diet claims","food handling rules","general resources only","user feedback","high","pack partner"
"community centers/churches","trust and space","leadership verification","boundary confusion","site policies","host node/events","monthly review","medium","pilot host"
"food banks","food support","nonprofit verification","eligibility mismatch","food safety","resource referral","user feedback","high","Food Stability Pack"
"social workers","navigation","license/credential","scope creep","licensure","referral and resource help","credential review","medium","support desk partner"
"diabetes educators","education","credential verification","medical advice boundaries","certification/licensure","education referral","credential review","medium","education partner"
"Apple Watch/phone setup helpers","reminders","identity, background if in-home","privacy/device access","privacy agreement","setup only","checklist + complaint","medium","paid setup"
"NAS/tech setup helpers","local vault","technical competence, privacy agreement","data exposure","cyber/privacy","setup with user control","security checklist","medium","paid setup"
